model,dyda_da,dyda_e,maptask,meld_e,meld_s,mrda,oasis,sem
BertGRU,54.03100775,76.58914729,0,41.14942529,41.22605364,46.7291532,0,26.99316629
BertMLP2Layers,39.19896641,70.91731266,0,30.26819923,30.34482759,45.22301228,0,28.4738041
BertMLP1Layer,34.45736434,66.21447028,0,30.22988506,30.1532567,46.86489981,0,30.86560364
